Taxon,ID,Voucher,Plot,Location,,Lat. ,,Lon.,Ele.,Collector(s),Source
R. melanophthalma,-,EF095283,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095285,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095287,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095290,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Arup and Grub 2000
R. melanophthalma,554f,BRY C55091,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,556f,BRY C55092,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,668f,BRY C55093,-,"USA, ID, Owynee Co.:  McBride Creeks Badlands",43.3202,,-116.9795,,1291 m,"SDL, HCL, JHL",this study
R. melanophthalma,669f,BRY C55094,-,"USA, ID, Owynee Co.:  McBride Creeks Badlands",43.3202,,-116.9795,,1291 m,"SDL, HCL, JHL",this study
R. melanophthalma,670f,BRY C55095,-,"USA, ID, Owynee Co.:  McBride Creeks Badlands",43.3202,,-116.9795,,1291 m,"SDL, HCL, JHL",this study
R. melanophthalma,541f,BRY C55096,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,542f,BRY C55097,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,545f,BRY C55098,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,546f,BRY C55099,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,547f,BRY C55100,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,548f,BRY C55101,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,549f,BRY C55102,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,553f,BRY C55103,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,555f,BRY C55104,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,557f,BRY C55105,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,558f,BRY C55106,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,559f,BRY C55107,TLM-1,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,560f,BRY C55108,TLM-1,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,567f,BRY C55109,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,568f,BRY C55110,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,596f,BRY C55111,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,597f,BRY C55112,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,598f,BRY C55113,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,599f,BRY C55114,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,600f,BRY C55115,BM-2,"USA, Wayne Co.: Boulder Mountain (BM-2)",38.1723,,-111.5785,,2809 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,613f,BRY C55116,TLM-1,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,616f,BRY C55117,TLM-1,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,617f,BRY C55118,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (1)",38.4243,,-111.6446,,2220 m,LDP,this study
R. melanophthalma,618f,BRY C55119,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,619f,BRY C55120,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,620f,BRY C55121,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,621f,BRY C55122,TLM-2,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (2)",38.431,,-111.6119,,2285 m,LDP,this study
R. melanophthalma,622f,BRY C55123,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,623f,BRY C55124,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,624f,BRY C55125,TLM-3,"USA, Utah, Wayne Co.:   Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,625f,BRY C55126,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,627f,BRY C55127,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,628f,BRY C55128,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,629f,BRY C55129,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,630f,BRY C55130,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,631f,BRY C55131,TLM-4,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (4)",38.5079,,-111.5161,,2550 m,LDP,this study
R. melanophthalma,637f,BRY C55132,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,639f,BRY C55133,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,640f,BRY C55134,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,641f,BRY C55135,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,642f,BRY C55136,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,643f,BRY C55137,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,644f,BRY C55138,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,645f,BRY C55139,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,646f,BRY C55140,TLM-7,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (7)",38.4557,,-111.4497,,3000 m,LDP,this study
R. melanophthalma,647f,BRY C55141,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,648f,BRY C55142,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,650f,BRY C55143,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,651f,BRY C55144,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,658f,BRY C55570,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,659f,BRY C55146,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,661f,BRY C55147,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,686f,BRY C55148,-,"USA, Utah, Iron County",38.0771,,-112.6841,,1813 m,"SDL, HCL, JHL, GDL",this study
R. melanophthalma,713f,BRY C55149,-,"USA, NV, White Pine Co.:  Humboldt-Toiyabe National Forest ",38.5464,,-114.6385,,2744 m,"SLD, LLS",this study
R. melanophthalma,723f,BRY C55150,-,"USA, UT, Uintah Co.: Snake John Reef ",40.2926,,-109.1208,,1631 m,"SDL, LLS, GS",this study
R. cerebriformis,-,AF159942,-,"USA, Idaho",-,,-,,-,-,Arup and Grub 2000
R. cylindrica,,AF159941,-,"USA, Idaho",-,,-,,-,-,Arup and Grub 2000
R. haydenii,,AF159937,-,"USA, Idaho",-,,-,,-,-,Arup and Grub 2000
R. haydenii,684f,BRY C55029,-,"USA, WY, Lincoln County",41.6388,,-110.5699,,2018 m,"SDL, JHL",this study
R. haydenii,685f,BRY C55030,-,"USA, WY, Lincoln County",41.6388,,-110.5699,,2018 m,"SDL, JHL",this study
R. haydenii,728f,BRY C55032,-,"USA, WY, Sweetwater County",42.237,,-109.1712,,2112 m,SDL,this study
R. haydenii,729f,BRY C55033,-,"USA, WY, Sweetwater County",42.237,,-109.1712,,2112 m,SDL,this study
R. haydenii,715f*,BRY C55031,-,"USA, MT, Deerlodge Co.:  Beaverhead/Deerlodge National Forest",46.1027,,-113.2326,,2382 m,"SDL, LLS, GS",this study
R. haydenii,092f,BRY C55027,-,"USA, ID, Lemhi Co.:  city of Leadore ",44.6812,,-113.3623,,1819 m,"SDL, LLS, KBK",this study
R. haydenii,727f,BRY C55028,-,"ID, Lemhi Co.:  Salmon Challis National Forest",44.3769,,-113.2719,,2987 m,"LLS, KBK",this study
R. idahoensis,-,AF159943,-,"USA, Idaho",-,,-,,-,-,Arup and Grub 2000
R. idahoensis,093f,BRY C55034,-,"USA, ID, Lemhi Co.:  city of Leadore",44.6812,,-113.3623,,1819 m,"SDL, LLS, KBK",this study
R. idahoensis,094f,BRY C55035,-,"USA, ID, Lemhi Co.:  city of Leadore",44.6812,,-113.3623,,1819 m,"SDL, LLS, KBK",this study
R. idahoensis,103f,BRY C55036,-,"USA, ID, Lemhi Co.:  city of Leadore",44.6812,,-113.3623,,1819 m,"SDL, LLS, KBK",this study
